OID_,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,lw_detection_year,DetectionDate
1147,Frederick,Virginia,51,69,51069,,
1177,Loudoun,Virginia,51,107,51107,,
1188,Clarke,Virginia,51,43,51043,,
1207,Winchester,Virginia,51,840,51840,,
1220,Boone,Kentucky,21,15,21015,,
1233,Campbell,Kentucky,21,37,21037,,
1237,Shenandoah,Virginia,51,171,51171,,
1239,Kenton,Kentucky,21,117,21117,,
1245,Fairfax,Virginia,51,59,51059,,
1252,Warren,Virginia,51,187,51187,,
1259,Fauquier,Virginia,51,61,51061,,
1271,Prince William,Virginia,51,153,51153,,
1273,Arlington,Virginia,51,13,51013,,
1284,Falls Church,Virginia,51,610,51610,,
1286,Pendleton,Kentucky,21,191,21191,,
1287,Fairfax City,Virginia,51,600,51600,,
1288,Gallatin,Kentucky,21,77,21077,,
1292,Rappahannock,Virginia,51,157,51157,,
1297,Alexandria,Virginia,51,510,51510,,
1298,Rockingham,Virginia,51,165,51165,,
1303,Page,Virginia,51,139,51139,,
1304,Bracken,Kentucky,21,23,21023,,
1305,Grant,Kentucky,21,81,21081,,
1307,Manassas Park,Virginia,51,685,51685,,
1309,Manassas,Virginia,51,683,51683,,
1311,Carroll,Kentucky,21,41,21041,,
1312,Mason,Kentucky,21,161,21161,,
1313,Greenup,Kentucky,21,89,21089,,
1316,Trimble,Kentucky,21,223,21223,,
1323,Owen,Kentucky,21,187,21187,,
1324,Lewis,Kentucky,21,135,21135,,
1331,Culpeper,Virginia,51,47,51047,,
1349,Madison,Virginia,51,113,51113,,
1354,Robertson,Kentucky,21,201,21201,,
1355,Henry,Kentucky,21,103,21103,,
1357,Stafford,Virginia,51,179,51179,,
1359,Highland,Virginia,51,91,51091,,
1360,Harrison,Kentucky,21,97,21097,,
1369,Oldham,Kentucky,21,185,21185,,
1370,Fleming,Kentucky,21,69,21069,,
1380,Carter,Kentucky,21,43,21043,,
1384,Boyd,Kentucky,21,19,21019,,
1387,Scott,Kentucky,21,209,21209,,
1388,Augusta,Virginia,51,15,51015,,
1390,Greene,Virginia,51,79,51079,,
1392,Harrisonburg,Virginia,51,660,51660,,
1394,Nicholas,Kentucky,21,181,21181,,
1404,Orange,Virginia,51,137,51137,,
1405,Rowan,Kentucky,21,205,21205,,
1408,Jefferson,Kentucky,21,111,21111,2020,2/1/2021 0:00
1409,Spotsylvania,Virginia,51,177,51177,,
1410,King George,Virginia,51,99,51099,,
1412,Franklin,Kentucky,21,73,21073,,
1413,Bourbon,Kentucky,21,17,21017,,
1414,Shelby,Kentucky,21,211,21211,,
1418,Fredericksburg,Virginia,51,630,51630,,
